"publication_id","publication_code","study_id","group_description","between_id","observation_id","dataset_id","subject","block","trial","condition_id","congruency","accuracy","rt"
5,"pratte_2010_exploring",26,"University students (US)",26,712943,30,4694,6,29,36,1,1,1.458846
5,"pratte_2010_exploring",26,"University students (US)",26,712945,30,4694,6,31,36,2,1,0.702218
5,"pratte_2010_exploring",26,"University students (US)",26,712946,30,4694,6,32,36,2,1,1.167172
5,"pratte_2010_exploring",26,"University students (US)",26,712953,30,4694,6,39,36,1,1,2.218485
5,"pratte_2010_exploring",26,"University students (US)",26,712954,30,4694,6,40,36,2,1,2.364671
5,"pratte_2010_exploring",26,"University students (US)",26,712958,30,4694,6,44,36,2,1,2.969983
5,"pratte_2010_exploring",26,"University students (US)",26,712959,30,4694,6,45,36,2,1,2.923442
5,"pratte_2010_exploring",26,"University students (US)",26,712964,30,4694,6,50,36,1,1,2.409753
5,"pratte_2010_exploring",26,"University students (US)",26,712965,30,4694,6,51,36,1,1,2.491539
5,"pratte_2010_exploring",26,"University students (US)",26,712966,30,4694,6,52,36,1,1,1.110373
5,"pratte_2010_exploring",26,"University students (US)",26,712967,30,4694,6,53,36,2,1,1.17845
5,"pratte_2010_exploring",26,"University students (US)",26,712969,30,4694,6,55,36,1,1,1.609983
5,"pratte_2010_exploring",26,"University students (US)",26,712970,30,4694,6,56,36,1,1,1.609812
5,"pratte_2010_exploring",26,"University students (US)",26,712971,30,4694,6,57,36,2,1,0.878752
5,"pratte_2010_exploring",26,"University students (US)",26,712973,30,4694,6,59,36,2,1,1.077095
5,"pratte_2010_exploring",26,"University students (US)",26,712974,30,4694,6,60,36,2,0,1.055233
5,"pratte_2010_exploring",26,"University students (US)",26,712975,30,4694,6,61,36,1,1,0.867711
5,"pratte_2010_exploring",26,"University students (US)",26,712976,30,4694,6,62,36,1,1,0.724794
5,"pratte_2010_exploring",26,"University students (US)",26,712978,30,4694,6,64,36,1,1,1.125932
5,"pratte_2010_exploring",26,"University students (US)",26,712979,30,4694,6,65,36,2,1,1.401381
5,"pratte_2010_exploring",26,"University students (US)",26,712980,30,4694,6,66,36,2,1,1.509898
5,"pratte_2010_exploring",26,"University students (US)",26,712981,30,4694,6,67,36,2,1,1.606838
5,"pratte_2010_exploring",26,"University students (US)",26,712982,30,4694,6,68,36,2,1,1.858513
5,"pratte_2010_exploring",26,"University students (US)",26,712983,30,4694,6,69,36,2,1,1.201795
5,"pratte_2010_exploring",26,"University students (US)",26,712984,30,4694,6,70,36,1,1,0.876115
5,"pratte_2010_exploring",26,"University students (US)",26,712985,30,4694,6,71,36,1,1,1.181532
5,"pratte_2010_exploring",26,"University students (US)",26,712986,30,4694,6,72,36,1,1,0.749361
5,"pratte_2010_exploring",26,"University students (US)",26,712990,30,4694,7,4,36,1,1,1.354523
5,"pratte_2010_exploring",26,"University students (US)",26,712992,30,4694,7,6,36,1,1,0.833986
5,"pratte_2010_exploring",26,"University students (US)",26,712995,30,4694,7,9,36,1,1,0.797615
5,"pratte_2010_exploring",26,"University students (US)",26,713000,30,4694,7,14,36,2,1,0.985423
5,"pratte_2010_exploring",26,"University students (US)",26,713001,30,4694,7,15,36,1,1,0.847187
5,"pratte_2010_exploring",26,"University students (US)",26,713002,30,4694,7,16,36,2,1,2.471418
5,"pratte_2010_exploring",26,"University students (US)",26,713003,30,4694,7,17,36,2,1,0.72846
5,"pratte_2010_exploring",26,"University students (US)",26,713004,30,4694,7,18,36,2,1,0.897544
5,"pratte_2010_exploring",26,"University students (US)",26,713005,30,4694,7,19,36,1,1,1.334609
5,"pratte_2010_exploring",26,"University students (US)",26,713008,30,4694,7,22,36,2,1,2.534277
5,"pratte_2010_exploring",26,"University students (US)",26,713012,30,4694,7,26,36,2,1,1.863893
5,"pratte_2010_exploring",26,"University students (US)",26,713014,30,4694,7,28,36,1,1,1.283725
5,"pratte_2010_exploring",26,"University students (US)",26,713015,30,4694,7,29,36,2,1,0.491848
5,"pratte_2010_exploring",26,"University students (US)",26,713016,30,4694,7,30,36,2,1,1.214456
5,"pratte_2010_exploring",26,"University students (US)",26,713017,30,4694,7,31,36,2,1,1.152347
5,"pratte_2010_exploring",26,"University students (US)",26,713018,30,4694,7,32,36,2,1,1.170595
