"datasetid","subject","block","trial","congruency","between","within","accuracy","rt"
51,6,1,60,2,NA,1,1,0.701
51,6,1,61,1,NA,1,1,0.68
51,6,1,62,1,NA,1,1,0.787
51,6,1,63,2,NA,1,1,1.051
51,6,1,64,1,NA,1,1,0.494
51,6,1,65,1,NA,1,1,0.519
51,6,1,66,2,NA,1,1,1.314
51,6,1,67,2,NA,1,1,1.126
51,6,1,68,1,NA,1,1,0.658
51,6,1,69,1,NA,1,1,0.553
51,6,1,70,2,NA,1,1,0.894
51,6,1,71,1,NA,1,1,0.661
51,6,1,72,1,NA,1,1,0.565
51,6,1,73,2,NA,1,1,1.343
51,6,1,74,2,NA,1,1,1.245
51,6,1,75,1,NA,1,1,0.379
51,6,1,76,1,NA,1,1,0.518
51,6,1,77,1,NA,1,1,0.719
51,6,1,78,1,NA,1,1,0.833
51,6,1,79,1,NA,1,1,0.726
51,6,1,80,1,NA,1,1,0.709
51,6,1,81,1,NA,1,1,0.753
51,6,1,82,2,NA,1,1,1.107
51,6,1,83,1,NA,1,1,0.785
51,6,1,84,1,NA,1,1,1.342
51,6,1,85,1,NA,1,1,0.817
51,6,1,86,2,NA,1,1,1.082
51,6,1,87,2,NA,1,1,1.076
51,6,1,89,1,NA,1,1,0.364
51,6,1,90,1,NA,1,1,0.481
51,6,1,91,2,NA,1,1,0.833
51,6,1,92,1,NA,1,1,0.652
51,6,1,93,1,NA,1,1,0.606
51,6,1,94,1,NA,1,1,0.724
51,6,1,95,1,NA,1,1,0.695
51,6,1,96,1,NA,1,1,0.828
51,7,1,4,2,NA,1,1,1.093
51,7,1,5,1,NA,1,1,1.093
51,7,1,6,2,NA,1,1,0.99
51,7,1,7,2,NA,1,1,1.372
51,7,1,8,1,NA,1,1,1.328
51,7,1,9,1,NA,1,1,1.044
51,7,1,10,2,NA,1,1,0.882
51,7,1,11,2,NA,1,1,0.896
51,7,1,12,2,NA,1,1,0.912
51,7,1,13,2,NA,1,1,1.29
51,7,1,15,1,NA,1,1,0.699
51,7,1,16,1,NA,1,1,0.827
51,7,1,17,2,NA,1,1,1.025
51,7,1,18,1,NA,1,1,0.996
51,7,1,19,2,NA,1,1,0.991
51,7,1,20,1,NA,1,1,0.802
51,7,1,21,1,NA,1,1,0.706
51,7,1,23,2,NA,1,1,0.821
51,7,1,24,1,NA,1,1,0.922
51,7,1,25,1,NA,1,1,1.179
51,7,1,26,1,NA,1,1,0.895
51,7,1,27,1,NA,1,1,1.239
51,7,1,28,2,NA,1,1,0.637
51,7,1,29,2,NA,1,1,0.883
51,7,1,30,1,NA,1,1,0.916
51,7,1,31,2,NA,1,1,0.86
51,7,1,32,1,NA,1,1,1.104
51,7,1,33,1,NA,1,1,1.015
51,7,1,34,1,NA,1,1,1.178
51,7,1,35,2,NA,1,1,1.004
51,7,1,37,1,NA,1,1,0.786
51,7,1,38,2,NA,1,0,1.121
51,7,1,40,2,NA,1,1,0.586
51,7,1,41,1,NA,1,1,0.851
51,7,1,42,2,NA,1,1,0.825
51,7,1,43,1,NA,1,1,0.749
51,7,1,44,2,NA,1,1,0.975
51,7,1,46,1,NA,1,1,0.611
51,7,1,47,1,NA,1,1,1.219
51,7,1,48,2,NA,1,1,1.124
51,7,1,49,1,NA,1,1,0.75
51,7,1,50,1,NA,1,1,0.962
51,7,1,51,1,NA,1,0,1.065
51,7,1,52,2,NA,1,1,0.864
51,7,1,53,2,NA,1,1,1.225
51,7,1,54,2,NA,1,0,1.354
51,7,1,55,1,NA,1,1,0.957
51,7,1,56,1,NA,1,1,0.708
51,7,1,57,1,NA,1,1,0.746
51,7,1,58,2,NA,1,0,0.842
51,7,1,59,1,NA,1,1,0.704
51,7,1,60,1,NA,1,1,0.79
51,7,1,61,2,NA,1,1,0.83
51,7,1,62,2,NA,1,1,0.989
51,7,1,63,1,NA,1,1,0.861
51,7,1,64,2,NA,1,1,1.027
51,7,1,65,1,NA,1,1,0.878
51,7,1,66,2,NA,1,1,0.932
51,7,1,67,1,NA,1,0,0.956
51,7,1,68,2,NA,1,1,1.278
51,7,1,70,1,NA,1,1,0.999
51,7,1,71,1,NA,1,1,0.879
51,7,1,72,2,NA,1,1,1.031
51,7,1,73,2,NA,1,1,1.339
51,7,1,74,2,NA,1,1,1.09
51,7,1,75,1,NA,1,1,1.418
51,7,1,76,2,NA,1,1,1.042
51,7,1,77,1,NA,1,1,1.018
51,7,1,78,2,NA,1,1,1.077
51,7,1,79,1,NA,1,1,1.053
51,7,1,80,2,NA,1,1,0.847
51,7,1,81,1,NA,1,1,0.805
51,7,1,82,2,NA,1,0,1.21
51,7,1,83,1,NA,1,1,1.257
51,7,1,84,2,NA,1,1,0.831
51,7,1,85,1,NA,1,1,1.12
51,7,1,86,2,NA,1,1,1.249
51,7,1,88,1,NA,1,1,1.182
51,7,1,89,1,NA,1,1,0.937
51,7,1,90,1,NA,1,1,0.873
51,7,1,91,1,NA,1,1,1.147
51,7,1,92,2,NA,1,1,1.281
51,7,1,93,1,NA,1,1,0.884
51,7,1,94,2,NA,1,1,1.265
51,7,1,95,2,NA,1,1,1.047
51,7,1,96,2,NA,1,1,0.989
51,8,1,4,1,NA,1,1,0.706
51,8,1,5,1,NA,1,1,0.599
